name,sub_network,category,Tc_K,Gap_meV,ThetaD_K,EF_eV,lock_family,sub_order,pressure_GPa,notes
V3Ga,single,SC_Binary,16.5,2.6,340,6.4,integer,0,0,A15 structure
V3Si,gap1,SC_Binary,17.1,1.8,350,6.5,integer,1,0,A15 structure - larger gap - weak interband coupling
V3Si,gap2,SC_Binary,17.1,0.7,350,6.5,integer,2,0,A15 structure - smaller gap - surface reduced
VH8,single,SC_HighPressure,135,22,920,6.2,mixed,0,200,High Pressure (200 GPa) - transition metal
WC,single,SC_Binary,10,1.6,575,6.1,integer,0,0,hexagonal carbide
WRe,single,SC_Binary,6,0.95,430,7.2,mixed,0,0,solid solution - high field
Y3LuH24,single,SC_HighPressure,283,48,1150,7.2,mixed,0,120,Ternary clathrate (120 GPa) - predicted
YB6,single,SC_Binary,8.4,1.33,1150,6.5,integer,0,0,hexaboride
YBa2Cu3O7 (YBCO),CuO-chains,SC_Oxide,92,10,420,1.5,mixed,2,0,cuprate - CuO chains - smaller gap
YBa2Cu3O7 (YBCO),CuO2-planes,SC_Oxide,92,25,420,1.5,mixed,1,0,cuprate - CuO2 planes - d-wave large gap
YbC6,single,SC_Binary,6.5,1.03,320,3.9,integer,0,0,graphite intercalation
YC2,single,SC_Binary,3.3,0.52,420,5.2,mixed,0,0,carbide
YCaH18,single,SC_HighPressure,192,32,1020,6.7,mixed,0,170,Ternary (170 GPa) - cage hydride
YH10,single,SC_HighPressure,305,50,1150,7,integer,0,250,High Pressure (250 GPa) - predicted fcc
YH4,single,SC_HighPressure,88,14,800,5.5,integer,0,155,High Pressure (155 GPa) - I4/mmm
YH6,single,SC_HighPressure,224,38,1050,6,integer,0,166,High Pressure (166 GPa) - sodalite Im-3m
YH9,single,SC_HighPressure,243,41,1100,6.5,integer,0,200,High Pressure (200 GPa) - P63/mmc
YHfH12,single,SC_HighPressure,168,28,990,6.4,mixed,0,200,Ternary Pm-3m (200 GPa) - predicted
YLu3H24,single,SC_HighPressure,288,49,1160,7.3,mixed,0,110,Ternary clathrate (110 GPa) - predicted
YLuH12,single,SC_HighPressure,275,47,1130,7,mixed,0,140,Ternary clathrate (140 GPa) - predicted
YThH12,single,SC_HighPressure,175,30,1010,6.5,mixed,0,200,Ternary Pm-3m (200 GPa) - predicted
Zn,single,SC_TypeI,0.85,0.13,327,9.47,integer,0,0,Type I (low Tc)
ZnH6,single,SC_HighPressure,22,3.5,450,4.8,mixed,0,180,High Pressure (180 GPa) - predicted
Zr,single,SC_TypeII,0.61,0.09,291,8.3,integer,0,0,Type II (d-metal)
ZrB12,single,SC_Binary,5.5,0.87,1000,6.8,integer,0,0,dodecaboride
ZrH10,single,SC_HighPressure,220,37,1080,6.7,integer,0,250,High Pressure (250 GPa) - pentagraphene-like H
ZrN,single,SC_Binary,10.7,1.8,590,6.2,integer,0,0,NaCl structure - hard superconductor
